Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
Plan,LE01,Official Copy (Title Plan) LT261765,HM Land Registry,,2024,\#mar\#,,Uxbridgeroad Estate,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Uxbridge Road Estate/Official Copy (Title Plan) LT261765.pdf:PDF
Plan,LE01,Official Copy (Title Plan) WR73357,HM Land Registry,,2024,\#mar\#,,"Waitrose London, Road, Worcester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waitrose, London Road, Worcester/Official Copy (Title Plan) WR73357.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) WR78360,HM Land Registry,,2024,\#mar\#,,"Waitrose London, Road, Worcester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waitrose, London Road, Worcester/Official Copy (Title Plan) WR78360.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) WR64105,HM Land Registry,,2024,\#mar\#,,"Waitrose London, Road, Worcester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waitrose, London Road, Worcester/Official Copy (Title Plan) WR64105.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) WR71758,HM Land Registry,,2024,\#mar\#,,"Waitrose London, Road, Worcester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waitrose, London Road, Worcester/Official Copy (Title Plan) WR71758.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) WT312237,HM Land Registry,,2024,\#mar\#,,"Waitrose, Mill Lane, Swindon",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waitrose, Mill Lane, Swindon/Official Copy (Title Plan) WT312237.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT227083,HM Land Registry,,2024,\#mar\#,,"Waterside Road, Leicester",Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Waterside Road, Leicester/Official Copy (Title Plan) LT227083.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT491484,HM Land Registry,,2024,\#mar\#,,The Woodlands,Legal,General,Legal,Legal,Y,Other sites not in our scope,9/17/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Other sites not in our scope/Title Plans/Title Plans/Woodlands, Syston/Official Copy (Title Plan) LT491484.pdf:PDF"
Plan,LE01,Official Copy (Title Plan) LT165842,HM Land Registry,,2024,\#mar\#,,Abbey Sidings,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Abbey Sidings/Official Copy (Title Plan) LT165842.pdf:PDF
Plan,LE01,Official Copy (Title Plan) LT211763,HM Land Registry,,2024,\#mar\#,,Hilltop Industrial Estate,Legal,General,Legal,Legal,Y,"Also inculded in Other sites not in our scope"" folder""",9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Title Plans/Hilltop IE/Official Copy (Title Plan) LT211763.pdf:PDF
