Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2022,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20220222115251.pdf:PDF
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2022,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20221107110338.pdf:PDF
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2021,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20220204111534.pdf:PDF
Plan,NA,Wastewater,Severn Trent,,2020,\#oct\#,,Netherfield Nottingham,Plumbing,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D12_457246_A2_Wastewater.pdf:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/16.1.24 - 4 MPS - Microbiology Cert of Analysis.PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(691992) (1).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(691992) (2).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(694230) (2).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(698617) (3).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(728749) (1).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#mar\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Workorders-27442A(723087) (1).PDF:PDF
Contract,LE03,Appointment Contract of Mechanical and Electrical Services Engineer,Aviva Life \& Pensions UK Limited,,2017,\#dec\#,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,No clear title the document title has been created,9/13/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Appointment of M+E Engineer 21.12.2017 (Aviva, Watkins).pdf:PDF"
TechReport,NA,NLC Employee Search Risk Assessment,NA,,2018,,,Netherfield Nottingham,General,General,Environmental,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/NLC Employee Search Risk Assessment.pdf:PDF
Certificate,NA,Final Certificate,Butler \& Young Approved Inspectors Limited,,2017,\#apr\#,NA,4 Matthew Parker Street,General,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Final Certificate 13.09.17.pdf:PDF
Contract,NA,Performance Bond,NA,,2011,NA,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,No written info on the Client and Contractor.The document is unsigned,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Building Contract Annexures..pdf:PDF
Contract,CO02,Service Agreement for Goods Lifts,C \& H Lifts Ltd,,2023,\#jun\#,,Netherfield Nottingham,General,Operation,Construction Contract Warranty,Legal,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D5_Goods Lifts.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Hermitage Lane,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title  - Hermitage Lane_ Aylesford_ Kent - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,The Woodlands,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT Certificate of Title  - Woodlands Thurmaston 31.05.24.pdf:PDF
Certificate,NA,Air Conditioning Inspection Certificate,Elmhurst Energy Systems Ltd,,2023,\#oct\#,30-Oct-28,Netherfield Nottingham,Mechanical,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D16_Air conditioning inspection certificate – Find an energy certificate – GOV.pdf:PDF
Certificate,NA,Certificate of Completion,City of Westminister,,2003,\#oct\#,NA,4 Matthew Parker Street,Architectural,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Certificate of Completion.pdf:PDF
TechReport,CE03,Fire Alarm Service of Clarence House,RELTECH SOLUTIONS,,2024,\#apr\#,,Clarence House,FDAS,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/16.4.24 - 4 MPS - Fire Alarm Service.pdf:PDF
TechReport,EN02,Engineers Gas Service Report,Edmund Services Limited,,2023,NA,,Clarence House,Energy,Operation,Environmental,Optional,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/24.8.24 - 4 MPS - Gas Safe.pdf:PDF
TechReport,CE17,Temperature Results April 2024,NA,,2024,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D17_Temperature results april 2024.pdf:PDF
Po,NA,Job Number No. 802368,Metro Rod Drain Care and Repair,,2023,October,,Netherfield Nottingham,Plumbing,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D12_Job Card 802368.pdf:PDF
Po,NA,Fire Extinguisher 2024,Midland Fire Solutions Limited,,2023,December,,Mill Lane Industrial Estate,FDAS,Maintenance,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/2024 - fire extinguisher.pdf:PDF
Certificate,CE03,Fire Protection Certificate of Inspection,Churches Fire Ltd,,2023,\#dec\#,,Netherfield Nottingham,FDAS,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D3_DryRiser and Valves Service.pdf:PDF
TechReport,NA,Air Flex System Task Risk Assessment,NA,,2023,,,Netherfield Nottingham,Civil,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Air Flex System Task Risk Assessment.pdf:PDF
TechReport,NA,Conveyor and General Maintenance Risk Assessment,NA,,2016,,,Netherfield Nottingham,Mechanical,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Conveyor and General Maintenance Risk Assessment.pdf:PDF
TechReport,NA,Returns Task Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Returns Task Risk Assessment.pdf:PDF
TechReport,NA,Parcel Strapping Machine Task Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Parcel Strapping Machine Task Risk Assessment.pdf:PDF
TechReport,NA,Picking Task Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Picking Task Risk Assessment.pdf:PDF
TechReport,NA,All Office Areas Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/All Office Areas Task Risk Assessment.pdf:PDF
TechReport,NA,Assembly and Rectification Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Assembly and Rectification Task Risk Assessment.pdf:PDF
TechReport,NA,Baler Compactor Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,Civil,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Baler Compactor Task Risk Assessment.pdf:PDF
TechReport,NA,Cardboard Shedder Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Cardboard Shredder Task Risk Assessment.pdf:PDF
TechReport,NA,Exterior Spaces Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Exterior Spaces Risk Assessment.pdf:PDF
TechReport,OM07,First Aid Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/First Aid Risk Assessment.pdf:PDF
TechReport,EN14,Access Equipment Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Construction,Environmental,Optional,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Access Equipment Task Risk Assessment.pdf:PDF
TechReport,ESG12,Inclement Weather Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Construction,Environmental,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Inclement Weather Risk Assessment.pdf:PDF
TechReport,NA,Infill Machine Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Infill Machine Task Risk Assessment.pdf:PDF
TechReport,NA,Material Handling Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Material Handling Task Risk Assessment.pdf:PDF
TechReport,NA,Packing and Despatch Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Packing and Despatch Task Risk Assessment.pdf:PDF
TechReport,NA,Goods In Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Goods In Task Risk Assessment.pdf:PDF
TechReport,NA,Heat Seal Machine Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Heat Seal Machine Task Risk Assessment.pdf:PDF
TechReport,NA,Highbay Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Highbay Task Risk Assessment.pdf:PDF
TechReport,NA,Pump House Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,Mechanical,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Pump House Task Risk Assessment.pdf:PDF
TechReport,NA,Putaway Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Putaway Task Risk Assessment.pdf:PDF
TechReport,NA,Welfare Facilities Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,General,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Welfare Facilities Risk Assessment.pdf:PDF
TechReport,NA,Packsize Task Risk Assessment,NA,,2015,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/PackSize Task Risk Assessment.pdf:PDF
TechReport,NA,Traffic Management Risk Assessment,NA,,2014,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Traffic Management Risk Assessment.pdf:PDF
TechReport,NA,Report of Examination of Pressure System or Parts,Adams Plant Inspections Ltd,,2022,\#oct\#,,Mill Lane Industrial Estate,Mechanical,Operation,Operational,Best Practice,N,,9/12/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Mill Lane Industrial Estate  - Premier Display Units 1C and 1D/Premier Display - Horizontal weld air receiver - Thorough & Working - 24th Oct 2022.pdf:PDF
Certificate,NA,Fire Extinguisher Certificate of Inspection,Churches Fire Security Ltd.,,2023,\#may\#,,Netherfield Nottingham,FDAS,Operation,Operational,Best Practice,Y,No exact title,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D15_Fire Fighting Equipment - 10-05-2023.pdf:PDF
Certificate,CE03,Fire Alarm Certificate of Inspection,Churches Fire Ltd,,2023,\#dec\#,,Netherfield Nottingham,FDAS,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D3_Fire Alarm Service.pdf:PDF
TechReport,ESG14,Disaster Recovery Plan,MEMS Power Generation,,2023,,,Netherfield Nottingham,HSE,Operation,Environmental,Best Practice,N,No exact title,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D20_34454 - Nottingham.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,May,,Hilltop Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/13/2024,,https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings.pdf?csf=1&web=1&e=eHkHt1,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,,,New Star Road State,Civil,Design,Operational,Best Practice,N,,9/13/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC\; New Star Rd, Bardon & Glenfield.pdf:PDF"
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,,,Mill Lane Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,,,New Star Road State,Civil,Design,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC inspection Leicester buildings.pdf:PDF
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,,,Mill Lane Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/13/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC\; New Star Rd, Bardon & Glenfield.pdf:PDF"
TechReport,NA,RAAC Inspections Charles Street Buildings Group,Hexa Consulting Limited,,2024,May,,Hilltop Industrial Estate,Civil,Design,Operational,Best Practice,N,,9/13/2024,,"https://arcadiso365.sharepoint.com/:b:/r/teams/ProjectTiger2024/Shared Documents/General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC; New Star Rd, Bardon & Glenfield.pdf?csf=1&web=1&e=ReszSF",":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/RAAC Reports/601018-HEX-00-XX-RP RAAC\; New Star Rd, Bardon & Glenfield.pdf:PDF"
TechReport,CE19,Service Report on Chiller,J.L. Harrison \& Son (Air Conditioning) Limited,,2024,October,,Clarence House,Energy,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/JL HARRISON REPORT 17 01 24 pdf-Periodicals - 10667-2 (693824).pdf:PDF
TechReport,CE19,Service Report on Chiller,J.L. Harrison \& Son (Air Conditioning) Limited,,2024,\#jan\#,,Clarence House,Energy,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/JL HARRISON REPORT 17 01 2024 pdf-Periodicals - 10667-2 (693823).pdf:PDF
TechReport,CE19,Service Report on Chiller,J.L. Harrison \& Son (Air Conditioning) Limited,,2024,\#oct\#,,Clarence House,Energy,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/JL HARRISON REPORT U1 25 10 23 pdf-Periodicals - 10667-2 (666588).pdf:PDF
TechReport,CE19,Service Report on Chiller,J.L. Harrison \& Son (Air Conditioning) Limited,,2024,\#oct\#,,Clarence House,Energy,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/JL HARRISON REPORT U2 25 10 23 pdf-Periodicals - 10667-2 (666589).pdf:PDF
TechReport,CE19,Service Report on Chiller,J.L. Harrison \& Son (Air Conditioning) Limited,,2024,\#may\#,,Clarence House,Energy,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/PROJEC~1/069DA0~1.DOC/STAGE2~1/3XLOND~1/CLAREN~1/INSPEC~1/JL49A5~1.PDF:PDF
TechReport,DE01,Maintenance Manual Handling Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Maintenance,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Maintenance Manual Handling Risk Assessment.pdf:PDF
TechReport,DE01,Returns Manual Handling Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Returns Manual Handling Risk Assessment.pdf:PDF
TechReport,DE01,Picking Manual Handling Risk Assessment,NA,,2016,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Picking Manual Handling Risk Assessment.pdf:PDF
TechReport,DE01,Packing \& Despatch Manual Handling Risk Assessment,NA,,2014,,,Netherfield Nottingham,General,Operation,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Packing and Despatch Manual Handling Risk Assessment.pdf:PDF
TechReport,DE01,Goods in Manual Handling Risk Assessment,NA,,2014,,,Netherfield Nottingham,General,Operation,Operational,Legal,Y,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Goods In Manual Handling Risk Assessment.pdf:PDF
TechReport,DE01,Assembly Manual Handling Risk Assessment,NA,,1992,,,Netherfield Nottingham,General,Construction,Operational,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/Assembly Manual Handling Risk Assessment.pdf:PDF
